Season,Teams,Games,G/Teams,SO,SO%,OT,OT%,OT/SO,OT/SO%
2002-2003,11,330,60,44,13.33,26,7.88,70,21.21
2003-2004,12,360,60,36,10.00,24,6.67,60,16.67
2004-2005,11,330,60,32,9.70,29,8.79,61,18.48
2005-2006,11,330,60,35,10.61,29,8.79,64,19.39
2006-2007,12,360,60,43,11.94,20,5.56,63,17.50
2007-2008,12,360,60,40,11.11,23,6.39,63,17.50
2008-2009,12,360,60,29,8.06,21,5.83,50,13.89
2009-2010,14,420,60,50,11.90,30,7.14,80,19.05
2010-2011,16,480,60,61,12.71,43,8.96,104,21.67
2011-2012,16,480,60,50,10.42,38,7.92,88,18.33
2012-2013,16,512,64,55,10.74,30,5.86,85,16.60
2013-2014,16,480,60,54,11.25,36,7.50,90,18.75
2014-2015,17,510,60,63,12.35,39,7.65,102,20.00
Total,13.54,5312,60.31,592,11.14,388,7.30,980,18.45
