"Date","W Goal","Pd","Time","Total","Average","Vis:","Dec","Scr","Home:","Dec","Scr","W Goalie","L Goalie"
"Jun 04 '14","Justin Williams","OT","04:36",00:04:36,00:04:36,"NYR","L",2,"LAK","W",3,"Jonathan Quick","Henrik Lundqvist"
"Jun 01 '14","Alec Martinez","OT","05:47",00:10:23,00:05:12,"LAK","W",5,"CHI","L",4,"Jonathan Quick","Corey Crawford"
"May 25 '14","Martin St. Louis","OT","06:02",00:16:25,00:05:28,"MTL","L",2,"NYR","W",3,"Henrik Lundqvist","Dustin Tokarski"
"May 22 '14","Alex Galchenyuk","OT","01:12",00:17:37,00:04:24,"MTL","W",3,"NYR","L",2,"Dustin Tokarski","Henrik Lundqvist"
"May 13 '14","Patrick Kane","OT","09:42",00:27:19,00:05:28,"CHI","W",2,"MIN","L",1,"Corey Crawford","Ilya Bryzgalov"
"May 08 '14","Matt Fraser","OT","01:19",00:28:38,00:04:46,"BOS","W",1,"MTL","L",0,"Tuukka Rask","Carey Price"
"May 03 '14","Marian Gaborik","OT","12:07",00:40:45,00:05:49,"LAK","W",3,"ANA","L",2,"Jonathan Quick","Jonas Hiller"
"May 02 '14","Derick Brassard","OT","03:06",00:43:51,00:05:29,"NYR","W",3,"PIT","L",2,"Henrik Lundqvist","Marc-Andre Fleury"
"Apr 30 '14","Nino Niederreiter","OT","05:02",00:48:53,00:05:26,"MIN","W",5,"COL","L",4,"Ilya Bryzgalov","Semyon Varlamov"
"Apr 27 '14","Nick Bonino","OT","02:47",00:51:40,00:05:10,"ANA","W",5,"DAL","L",4,"Jonas Hiller","Kari Lehtonen"
"Apr 26 '14","Nathan MacKinnon","OT","03:27",00:55:07,00:05:01,"MIN","L",3,"COL","W",4,"Semyon Varlamov","Darcy Kuemper"
"Apr 25 '14","Jonathan Toews","OT","07:36",01:02:43,00:05:14,"CHI","W",3,"STL","L",2,"Corey Crawford","Ryan Miller"
"Apr 24 '14","Jarome Iginla","OT","13:32",01:16:15,00:05:52,"BOS","W",3,"DET","L",2,"Tuukka Rask","Jonas Gustavsson"
"Apr 23 '14","Patrick Kane","OT","11:17",01:27:32,00:06:15,"STL","L",3,"CHI","W",4,"Corey Crawford","Ryan Miller"
"Apr 23 '14","Nick Foligno","OT","02:49",01:30:21,00:06:01,"PIT","L",3,"CBJ","W",4,"Sergei Bobrovsky","Marc-Andre Fleury"
"Apr 22 '14","Patrick Marleau","OT","06:20",01:36:41,00:06:03,"SJS","W",4,"LAK","L",3,"Antti Niemi","Jonathan Quick"
"Apr 21 '14","Mikael Granlund","OT","05:08",01:41:49,00:05:59,"COL","L",0,"MIN","W",1,"Darcy Kuemper","Semyon Varlamov"
"Apr 19 '14","Barret Jackman","OT","05:50",01:47:39,00:05:59,"CHI","L",3,"STL","W",4,"Ryan Miller","Corey Crawford"
"Apr 17 '14","Paul Stastny","OT","07:27",01:55:06,00:06:03,"MIN","L",4,"COL","W",5,"Semyon Varlamov","Ilya Bryzgalov"
"Apr 16 '14","Dale Weise","OT","18:08",02:13:14,00:06:40,"MTL","W",5,"TBL","L",4,"Carey Price","Anders Lindback"
