"Date","W Goal","Pd","Time","Total","Average","Vis:","Dec","Scr","Home:","Dec","Scr","W Goalie","L Goalie"
"Apr 13 '14","Nick Bonino","OT","01:33",00:01:33,00:01:33,"COL","O",2,"ANA","W",3,"John Gibson","Jean-Sebastien Giguere"
"Apr 12 '14","Brian Gionta","OT","02:04",00:03:37,00:01:49,"NYR","O",0,"MTL","W",1,"Carey Price","Cam Talbot"
"Apr 12 '14","Mark Streit","OT","02:10",00:05:47,00:01:56,"PHI","W",4,"PIT","O",3,"Ray Emery","Marc-Andre Fleury"
"Apr 09 '14","Patrick Sharp","OT","00:43",00:06:30,00:01:38,"MTL","O",2,"CHI","W",3,"Corey Crawford","Peter Budaj"
"Apr 08 '14","Ryan Johansen","OT","03:33",00:10:03,00:02:01,"PHX","O",3,"CBJ","W",4,"Sergei Bobrovsky","Thomas Greiss"
"Apr 03 '14","Nazem Kadri","OT","02:51",00:12:54,00:02:09,"BOS","O",3,"TOR","W",4,"James Reimer","Chad Johnson"
"Apr 01 '14","Gabriel Landeskog","OT","04:27",00:17:21,00:02:29,"COL","W",3,"CBJ","O",2,"Semyon Varlamov","Sergei Bobrovsky"
"Mar 31 '14","Stephane Robidas","OT","00:16",00:17:37,00:02:12,"WPG","O",4,"ANA","W",5,"Frederik Andersen","Ondrej Pavelec"
"Mar 29 '14","Ryan Johansen","OT","02:40",00:20:17,00:02:15,"CBJ","W",3,"CAR","O",2,"Curtis McElhinney","Anton Khudobin"
"Mar 29 '14","Steven Stamkos","OT","01:53",00:22:10,00:02:13,"TBL","W",4,"BUF","O",3,"Ben Bishop","Matt Hackett"
"Mar 28 '14","Andrew Ference","OT","03:51",00:26:01,00:02:22,"ANA","O",3,"EDM","W",4,"Ben Scrivens","Jonas Hiller"
"Mar 27 '14","Tyson Barrie","OT","00:55",00:26:56,00:02:15,"VAN","O",2,"COL","W",3,"Semyon Varlamov","Eddie Lack"
"Mar 24 '14","Ryan McDonagh","OT","01:56",00:28:52,00:02:13,"PHX","O",3,"NYR","W",4,"Henrik Lundqvist","Thomas Greiss"
"Mar 23 '14","Matt Moulson","OT","02:15",00:31:07,00:02:13,"MIN","W",4,"DET","O",3,"Ilya Bryzgalov","Jimmy Howard"
"Mar 22 '14","James Neal","OT","01:27",00:32:34,00:02:10,"TBL","O",3,"PIT","W",4,"Jeff Zatkoff","Anders Lindback"
"Mar 20 '14","Daniel Alfredsson","OT","04:59",00:37:33,00:02:21,"PIT","O",4,"DET","W",5,"Jimmy Howard","Marc-Andre Fleury"
"Mar 20 '14","Andy Greene","OT","02:00",00:39:33,00:02:20,"MIN","O",3,"NJD","W",4,"Cory Schneider","Ilya Bryzgalov"
"Mar 19 '14","Blake Wheeler","OT","01:42",00:41:15,00:02:18,"COL","O",4,"WPG","W",5,"Al Montoya","Reto Berra"
"Mar 18 '14","Claude Giroux","OT","04:55",00:46:10,00:02:26,"CHI","O",2,"PHI","W",3,"Ray Emery","Antti Raanta"
"Mar 15 '14","Francis Bouillon","OT","01:26",00:47:36,00:02:23,"OTT","O",4,"MTL","W",5,"Carey Price","Robin Lehner"
"Mar 11 '14","Jamie Benn","OT","03:42",00:51:18,00:02:27,"DAL","W",3,"STL","O",2,"Tim Thomas","Ryan Miller"
"Mar 10 '14","Seth Jones","OT","03:49",00:55:07,00:02:30,"NSH","W",4,"OTT","O",3,"Pekka Rinne","Robin Lehner"
"Mar 10 '14","Matt Duchene","OT","02:33",00:57:40,00:02:30,"WPG","O",2,"COL","W",3,"Semyon Varlamov","Al Montoya"
"Mar 08 '14","Joffrey Lupul","OT","02:21",01:00:01,00:02:30,"PHI","O",3,"TOR","W",4,"Jonathan Bernier","Steve Mason"
"Mar 06 '14","Andre Benoit","OT","04:28",01:04:29,00:02:35,"COL","W",3,"DET","O",2,"Jean-Sebastien Giguere","Jimmy Howard"
"Mar 06 '14","Taylor Hall","OT","02:29",01:06:58,00:02:35,"NYI","O",2,"EDM","W",3,"Ben Scrivens","Evgeni Nabokov"
"Mar 05 '14","Tyler Bozak","OT","01:51",01:08:49,00:02:33,"TOR","W",3,"NYR","O",2,"Jonathan Bernier","Henrik Lundqvist"
"Mar 04 '14","Jay Harrison","OT","04:18",01:13:07,00:02:37,"CAR","W",3,"SJS","O",2,"Anton Khudobin","Alex Stalock"
"Mar 04 '14","Michael Grabner","OT","03:53",01:17:00,00:02:39,"NYI","W",3,"WPG","O",2,"Anders Nilsson","Ondrej Pavelec"
"Mar 02 '14","Vincent Lecavalier","OT","02:45",01:19:45,00:02:40,"PHI","W",5,"WSH","O",4,"Steve Mason","Braden Holtby"
"Mar 01 '14","Sean Monahan","OT","01:50",01:21:35,00:02:38,"CGY","W",2,"EDM","O",1,"Reto Berra","Ilya Bryzgalov"
"Mar 01 '14","Max Pacioretty","OT","03:28",01:25:03,00:02:39,"TOR","O",3,"MTL","W",4,"Peter Budaj","Jonathan Bernier"
"Feb 27 '14","Lubomir Visnovsky","OT","01:55",01:26:58,00:02:38,"TOR","O",4,"NYI","W",5,"Evgeni Nabokov","Jonathan Bernier"
"Feb 26 '14","Gustav Nyquist","OT","04:32",01:31:30,00:02:41,"DET","W",2,"MTL","O",1,"Jimmy Howard","Peter Budaj"
"Feb 26 '14","Matt D'Agostini","OT","00:22",01:31:52,00:02:37,"BOS","O",4,"BUF","W",5,"Jhonas Enroth","Chad Johnson"
"Feb 07 '14","Jon Merrill","OT","02:34",01:34:26,00:02:37,"EDM","O",1,"NJD","W",2,"Cory Schneider","Ilya Bryzgalov"
"Feb 06 '14","Robyn Regehr","OT","02:33",01:36:59,00:02:37,"CBJ","O",1,"LAK","W",2,"Jonathan Quick","Sergei Bobrovsky"
"Feb 06 '14","Nino Niederreiter","OT","02:16",01:39:15,00:02:37,"NSH","O",2,"MIN","W",3,"Darcy Kuemper","Carter Hutton"
"Feb 06 '14","T.J. Oshie","OT","03:29",01:42:44,00:02:38,"BOS","O",2,"STL","W",3,"Jaroslav Halak","Tuukka Rask"
"Feb 05 '14","Tommy Wingels","OT","01:52",01:44:36,00:02:37,"DAL","O",1,"SJS","W",2,"Alex Stalock","Kari Lehtonen"
"Feb 03 '14","Ryan O'Reilly","OT","00:28",01:45:04,00:02:34,"COL","W",2,"NJD","O",1,"Jean-Sebastien Giguere","Cory Schneider"
"Feb 03 '14","James Neal","OT","01:55",01:46:59,00:02:33,"OTT","O",1,"PIT","W",2,"Marc-Andre Fleury","Craig Anderson"
"Feb 02 '14","Alex Ovechkin","OT","02:37",01:49:36,00:02:33,"DET","O",5,"WSH","W",6,"Michal Neuvirth","Jimmy Howard"
"Feb 01 '14","Mikael Backlund","OT","02:25",01:52:01,00:02:33,"MIN","O",3,"CGY","W",4,"Reto Berra","Darcy Kuemper"
"Feb 01 '14","Nate Thompson","OT","04:36",01:56:37,00:02:35,"TBL","W",2,"MTL","O",1,"Ben Bishop","Carey Price"
"Jan 31 '14","Shea Weber","OT","01:29",01:58:06,00:02:34,"NJD","O",2,"NSH","W",3,"Carter Hutton","Cory Schneider"
