Team,1st Period,2nd Period,3rd Period,OT,Total
DALLAS,79,100,74,4,257
ST LOUIS,56,96,82,5,239
VANCOUVER,51,95,84,6,236
FLORIDA,41,90,66,1,198
WASHINGTON,67,87,78,5,237
DETROIT,59,84,81,7,231
TAMPA BAY,73,83,99,4,259
SAN JOSE,63,82,77,2,224
OTTAWA,57,80,88,7,232
WINNIPEG,74,79,66,4,223
MONTREAL,44,77,87,6,214
TORONTO,56,77,70,3,206
COLUMBUS,69,76,77,5,227
CALGARY,54,75,99,9,237
BOSTON,70,74,56,9,209
ANAHEIM,61,74,85,8,228
NY RANGERS,84,74,84,6,248
NY ISLANDERS,75,73,91,6,245
NASHVILLE,65,71,82,8,226
MINNESOTA,65,71,87,4,227
LOS ANGELES,65,70,82,1,218
EDMONTON,58,68,65,2,193
COLORADO,59,68,80,2,209
PITTSBURGH,77,68,66,6,217
PHILADELPHIA,63,67,77,5,212
CAROLINA,54,67,61,1,183
CHICAGO,74,60,83,3,220
NEW JERSEY,59,57,59,1,176
ARIZONA,56,54,50,5,165
BUFFALO,46,52,54,1,153
ALL,1874,2249,2290,136,6549
PER GAME,1.52,1.83,1.86,0.11,5.32
